anio,flujo,grano,socio_cod,cap_cod,valor_usd
2015,Exportacion,capitulo,,39,358081815.0
2015,Exportacion,capitulo,,31,30221307.0
2015,Exportacion,capitulo,,33,21671009.0
2015,Exportacion,capitulo,,34,43795527.0
2015,Exportacion,capitulo,,35,13999650.0
2015,Exportacion,capitulo,,36,11304472.0
2015,Exportacion,capitulo,,37,190596.0
2015,Exportacion,capitulo,,38,123258148.0
2015,Exportacion,capitulo,,42,4999669.0
2015,Exportacion,capitulo,,43,90.0
2015,Exportacion,capitulo,,44,71348954.0
2015,Exportacion,capitulo,,40,236115759.0
2015,Exportacion,capitulo,,47,12395792.0
2015,Exportacion,capitulo,,48,98801958.0
2015,Exportacion,capitulo,,49,12801073.0
2015,Exportacion,capitulo,,51,3074.0
2015,Exportacion,capitulo,,52,28556023.0
2015,Exportacion,capitulo,,53,240130.0
2015,Exportacion,capitulo,,54,22339265.0
2015,Exportacion,capitulo,,55,2345032.0
2015,Exportacion,capitulo,,56,6885822.0
2015,Exportacion,capitulo,,41,15374201.0
2015,Exportacion,capitulo,,57,80567.0
2015,Exportacion,capitulo,,45,572.0
2015,Exportacion,capitulo,,46,13082.0
2015,Exportacion,capitulo,,60,1255855.0
2015,Exportacion,capitulo,,61,41053276.0
2015,Exportacion,capitulo,,62,19806657.0
2015,Exportacion,capitulo,,63,4212153.0
2015,Exportacion,capitulo,,64,773656.0
2015,Exportacion,capitulo,,58,3086425.0
2015,Exportacion,capitulo,,65,229645.0
2015,Exportacion,capitulo,,59,5762819.0
2015,Exportacion,capitulo,,69,7623117.0
2015,Exportacion,capitulo,,70,81592820.0
2015,Exportacion,capitulo,,71,40697989.0
2015,Exportacion,capitulo,,72,99029289.0
2015,Exportacion,capitulo,,82,5991054.0
2015,Exportacion,capitulo,,73,82887709.0
2015,Exportacion,capitulo,,66,76155.0
2015,Exportacion,capitulo,,67,72040.0
2015,Exportacion,capitulo,,68,14401130.0
2015,Exportacion,capitulo,,74,20075768.0
2015,Exportacion,capitulo,,75,5093584.0
2015,Exportacion,capitulo,,76,73055038.0
2015,Exportacion,capitulo,,78,11454626.0
2015,Exportacion,capitulo,,79,744443.0
2015,Exportacion,capitulo,,80,69070.0
2015,Exportacion,capitulo,,81,1531689.0
2015,Exportacion,capitulo,,83,29284646.0
2015,Exportacion,capitulo,,84,144385794.0
2015,Exportacion,capitulo,,85,642644140.0
2015,Exportacion,capitulo,,88,2692269.0
2015,Exportacion,capitulo,,86,2811506.0
2015,Exportacion,capitulo,,87,57721689.0
2015,Exportacion,capitulo,,89,1975988.0
2015,Exportacion,capitulo,,91,523431.0
2015,Exportacion,capitulo,,92,107527.0
2015,Exportacion,capitulo,,93,11000.0
2015,Exportacion,capitulo,,94,41669030.0
2015,Exportacion,capitulo,,95,26200733.0
2015,Exportacion,capitulo,,96,138068009.0
2015,Exportacion,capitulo,,97,164061.0
2015,Exportacion,capitulo,,99,1.0
2015,Importacion,capitulo,,9,26733265.0
2015,Importacion,capitulo,,8,93112280.0
2015,Importacion,capitulo,,7,53130604.0
2015,Importacion,capitulo,,6,13111062.0
2015,Importacion,capitulo,,5,4440691.0
2015,Importacion,capitulo,,4,52585021.0
2015,Importacion,capitulo,,3,76505480.0
2015,Importacion,capitulo,,11,43102969.0
2015,Importacion,capitulo,,10,294948382.0
2015,Importacion,capitulo,,12,141538897.0
2015,Importacion,capitulo,,13,7748409.0
2015,Importacion,capitulo,,14,446510.0
2015,Importacion,capitulo,,15,49857176.0
2015,Importacion,capitulo,,16,96752845.0
2015,Importacion,capitulo,,17,46462925.0
2015,Importacion,capitulo,,18,36232265.0
2015,Importacion,capitulo,,2,78621228.0
2015,Importacion,capitulo,,1,11236968.0
2015,Importacion,capitulo,,21,212843340.0
2015,Importacion,capitulo,,22,122061473.0
2015,Importacion,capitulo,,23,143925474.0
2015,Importacion,capitulo,,24,14254595.0
2015,Importacion,capitulo,,25,54500430.0
2015,Importacion,capitulo,,26,627999.0
2015,Importacion,capitulo,,27,1340593021.0
2015,Importacion,capitulo,,19,144126669.0
2015,Importacion,capitulo,,20,140889406.0
2015,Importacion,capitulo,,29,173526006.0
2015,Importacion,capitulo,,31,183108458.0
2015,Importacion,capitulo,,28,99004825.0
2015,Importacion,capitulo,,30,671207049.0
2015,Importacion,capitulo,,32,98319772.0
2015,Importacion,capitulo,,33,195329394.0
2015,Importacion,capitulo,,34,126128585.0
2015,Importacion,capitulo,,35,50907170.0
2015,Importacion,capitulo,,36,3305429.0
2015,Importacion,capitulo,,37,8685636.0
2015,Importacion,capitulo,,38,312875379.0
2015,Importacion,capitulo,,39,1185577208.0
2015,Importacion,capitulo,,40,210885985.0
2015,Importacion,capitulo,,41,8267064.0
2015,Importacion,capitulo,,42,44382211.0
2015,Importacion,capitulo,,43,61101.0
2015,Importacion,capitulo,,44,79049056.0
2015,Importacion,capitulo,,45,245858.0
2015,Importacion,capitulo,,46,623789.0
2015,Importacion,capitulo,,47,16869253.0
2015,Importacion,capitulo,,48,579607144.0
2015,Importacion,capitulo,,49,90265903.0
2015,Importacion,capitulo,,50,13286.0
2015,Importacion,capitulo,,51,3740587.0
2015,Importacion,capitulo,,52,19679825.0
2015,Importacion,capitulo,,53,462916.0
2015,Importacion,capitulo,,54,48252841.0
2015,Importacion,capitulo,,55,25600033.0
2015,Importacion,capitulo,,56,49297167.0
2015,Importacion,capitulo,,57,9474952.0
2015,Importacion,capitulo,,58,11322679.0
2015,Importacion,capitulo,,59,22361178.0
2015,Importacion,capitulo,,60,12561565.0
2015,Importacion,capitulo,,61,118792168.0
2015,Importacion,capitulo,,67,3196351.0
2015,Importacion,capitulo,,62,161698029.0
2015,Importacion,capitulo,,64,155482737.0
2015,Importacion,capitulo,,65,11398155.0
2015,Importacion,capitulo,,66,5268455.0
2015,Importacion,capitulo,,68,68948022.0
2015,Importacion,capitulo,,69,97628279.0
2015,Importacion,capitulo,,70,60266916.0
2015,Importacion,capitulo,,71,62720939.0
2015,Importacion,capitulo,,72,437266298.0
2015,Importacion,capitulo,,63,63672583.0
2015,Importacion,capitulo,,73,428376893.0
2015,Importacion,capitulo,,74,113013146.0
2015,Importacion,capitulo,,75,8031240.0
2015,Importacion,capitulo,,76,168153648.0
2015,Importacion,capitulo,,78,653311.0
2015,Importacion,capitulo,,79,13299320.0
2015,Importacion,capitulo,,80,164688.0
2015,Importacion,capitulo,,81,11107613.0
2015,Importacion,capitulo,,82,85449406.0
2015,Importacion,capitulo,,83,87130871.0
2015,Importacion,capitulo,,90,552582660.0
2015,Importacion,capitulo,,92,6019708.0
2015,Importacion,capitulo,,86,197725004.0
2015,Importacion,capitulo,,87,1299793018.0
2015,Importacion,capitulo,,88,23414733.0
2015,Importacion,capitulo,,89,4642445.0
2015,Importacion,capitulo,,91,15542835.0
2015,Importacion,capitulo,,93,4684191.0
2015,Importacion,capitulo,,94,207480619.0
2015,Importacion,capitulo,,95,96790498.0
2015,Importacion,capitulo,,96,77066623.0
2015,Importacion,capitulo,,97,509395.0
2015,Importacion,capitulo,,84,1350031144.0
2015,Importacion,capitulo,,85,1865032130.0
2016,Exportacion,capitulo,,15,147115938.0
2016,Exportacion,capitulo,,5,4012546.0
2016,Exportacion,capitulo,,8,2066779303.0
2016,Exportacion,capitulo,,9,315631569.0
2016,Exportacion,capitulo,,10,2906762.0
2016,Exportacion,capitulo,,11,14940407.0
2016,Exportacion,capitulo,,12,19630224.0
2016,Exportacion,capitulo,,13,2066025.0
2016,Exportacion,capitulo,,14,177050.0
2016,Exportacion,capitulo,,1,7304394.0
2016,Exportacion,capitulo,,2,71692365.0
2016,Exportacion,capitulo,,3,84091684.0
2016,Exportacion,capitulo,,4,143387900.0
2016,Exportacion,capitulo,,6,138881820.0
2016,Exportacion,capitulo,,7,154739100.0
2016,Exportacion,capitulo,,17,93736678.0
2016,Exportacion,capitulo,,18,11892133.0
2016,Exportacion,capitulo,,19,121560055.0
2016,Exportacion,capitulo,,20,463300597.0
2016,Exportacion,capitulo,,21,503690486.0
2016,Exportacion,capitulo,,22,76259833.0
2016,Exportacion,capitulo,,23,51338405.0
2016,Exportacion,capitulo,,24,15205540.0
2016,Exportacion,capitulo,,25,32956110.0
2016,Exportacion,capitulo,,26,378.0
2016,Exportacion,capitulo,,27,3345828.0
2016,Exportacion,capitulo,,28,15171957.0
2016,Exportacion,capitulo,,16,51442520.0
2016,Exportacion,capitulo,,29,5855258.0
2016,Exportacion,capitulo,,30,266717838.0
2016,Exportacion,capitulo,,31,26675856.0
2016,Exportacion,capitulo,,32,77698058.0
2016,Exportacion,capitulo,,33,26756928.0
2016,Exportacion,capitulo,,34,43014176.0
2016,Exportacion,capitulo,,36,16615957.0
2016,Exportacion,capitulo,,37,383153.0
2016,Exportacion,capitulo,,38,118694364.0
2016,Exportacion,capitulo,,48,100015885.0
2016,Exportacion,capitulo,,39,347185366.0
2016,Exportacion,capitulo,,40,228274528.0
2016,Exportacion,capitulo,,42,5365415.0
2016,Exportacion,capitulo,,35,15722471.0
2016,Exportacion,capitulo,,47,11625949.0
2016,Exportacion,capitulo,,41,7398552.0
2016,Exportacion,capitulo,,43,125.0
2016,Exportacion,capitulo,,44,67476913.0
2016,Exportacion,capitulo,,45,20409.0
2016,Exportacion,capitulo,,46,36703.0
2016,Exportacion,capitulo,,61,34065026.0
2016,Exportacion,capitulo,,60,267681.0
2016,Exportacion,capitulo,,59,109853.0
2016,Exportacion,capitulo,,58,2790709.0
2016,Exportacion,capitulo,,57,147719.0
2016,Exportacion,capitulo,,56,6438934.0
2016,Exportacion,capitulo,,55,1793366.0
2016,Exportacion,capitulo,,54,20635001.0
2016,Exportacion,capitulo,,53,66110.0
2016,Exportacion,capitulo,,52,34297008.0
2016,Exportacion,capitulo,,51,2259.0
2016,Exportacion,capitulo,,49,14921665.0
2016,Exportacion,capitulo,,62,22638950.0
2016,Exportacion,capitulo,,63,3081109.0
2016,Exportacion,capitulo,,64,753126.0
2016,Exportacion,capitulo,,65,356769.0
2016,Exportacion,capitulo,,66,126772.0
2016,Exportacion,capitulo,,67,16653.0
2016,Exportacion,capitulo,,68,17914041.0
2016,Exportacion,capitulo,,69,6152955.0
2016,Exportacion,capitulo,,70,70783770.0
2016,Exportacion,capitulo,,72,107992036.0
2016,Exportacion,capitulo,,73,76848490.0
2016,Exportacion,capitulo,,74,16110711.0
2016,Exportacion,capitulo,,78,12745645.0
2016,Exportacion,capitulo,,79,635524.0
2016,Exportacion,capitulo,,80,107167.0
2016,Exportacion,capitulo,,81,2461836.0
2016,Exportacion,capitulo,,82,6022105.0
2016,Exportacion,capitulo,,83,28461763.0
2016,Exportacion,capitulo,,84,102391960.0
2016,Exportacion,capitulo,,75,2088120.0
2016,Exportacion,capitulo,,76,64974092.0
2016,Exportacion,capitulo,,71,21230044.0
2016,Exportacion,capitulo,,85,436265358.0
2016,Exportacion,capitulo,,87,8502092.0
2016,Exportacion,capitulo,,88,1453107.0
2016,Exportacion,capitulo,,89,876754.0
